브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,"동원 샘물 무라벨 2L x 24병 생수 물 2리터, 2L, 24개",,"14,800원",㈜동원디어푸드 ( 동원몰 ),4,단일상품 × 개당 용량 × 총 수량: 2L × 24개,"수원지: 상세 설명 참조, 식품 프리미엄: 상세 설명 참조, 열량: 상세 설명 참조, 가정용/업소용: 상세 설명 참조, 유기농/친환경 등: 상세 설명 참조, 쿠팡상품번호: 7153229496 - 17988036631",https://www.coupang.com/vp/products/7153229496?itemId=17988036631&vendorItemId=86013951233
탐사,"탐사 베이직수, 2L, 12개",,"5,990원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 유라벨, 쿠팡상품번호: 7476419502 - 19529509106",https://www.coupang.com/vp/products/7476419502?itemId=19529509106&vendorItemId=86637986223
,"제주삼다수 그린, 330ml, 80개",,"34,400원",로켓배송,39,개당 용량 × 총 수량: 330ml × 80개,"소비기한(또는 유통기한): 2025-03-06 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 라벨없음, 수원지: 국내산, 대용량상품: Y, 쿠팡상품번호: 7666070794 - 14096771867",https://www.coupang.com/vp/products/7666070794?itemId=14096771867&vendorItemId=86469906901
오리온제주용암수,"오리온 닥터유 제주용암수, 2L, 18개","14,300원","13,300원",로켓배송,17,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2025-07-19 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 비건 여부: 비건, 설탕 함량: 무설탕, 쿠팡상품번호: 4944747674 - 19547724956",https://www.coupang.com/vp/products/4944747674?itemId=19547724956&vendorItemId=86433745874
,"백산수 생수, 1L, 12개",,"8,030원",주식회사 바이바이,24,개당 용량 × 총 수량: 1L × 12개,"용기 타입: 플라스틱병, 라벨 유무: 유라벨, 수원지: 아시아, 비건 여부: 비건, 설탕 함량: 무설탕, 쿠팡상품번호: 4876313878 - 17929544865",https://www.coupang.com/vp/products/4876313878?itemId=17929544865&vendorItemId=86952827480
,"풀무원샘물 무라벨 생수, 500ml, 20개",,"2,330원",귤바라기,8,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 무라벨, 쿠팡상품번호: 6239512369 - 18361612462",https://www.coupang.com/vp/products/6239512369?itemId=18361612462&vendorItemId=84060770218
,"휘오 다이아몬드 EC 네추럴 미네랄 워터, 500ml, 20개",,"7,590원",주식회사 부산종합유통,29,개당 용량 × 총 수량: 500ml × 20개,"용기 타입: 플라스틱병, 수원지: 국내산, 설탕 함량: 무설탕, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 2213229154 - 17266051408",https://www.coupang.com/vp/products/2213229154?itemId=17266051408&vendorItemId=72825134565
,"풀무원샘물 무라벨 생수, 2L, 18개",,"10,690원",로켓배송,2,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2025-01-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 6239512369 - 12586277097",https://www.coupang.com/vp/products/6239512369?itemId=12586277097&vendorItemId=86494123951
,"지리산물하나 ECO 생수, 2L, 24개",,"17,800원",주식회사 부산종합유통,3,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 무라벨, 가정용/업소용: 가정용, 쿠팡상품번호: 6778991635 - 19343174620",https://www.coupang.com/vp/products/6778991635?itemId=19343174620&vendorItemId=88410280017
,"커클랜드 코스트코 먹는샘물2L 생수 풀무원, 2L, 24개",,"14,800원",주식회사 제이와이제이아이앤씨,없음,개당 용량 × 총 수량: 2L × 24개,"수원지: 국내산, 가정용/업소용: 가정용, 쿠팡상품번호: 3560460 - 22422134713",https://www.coupang.com/vp/products/3560460?itemId=22422134713&vendorItemId=89465286712
스파클,"스파클 생수 무라벨, 330ml, 80개",,"16,110원",스파클주식회사,없음,개당 용량 × 총 수량: 330ml × 80개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 16350457226",https://www.coupang.com/vp/products/6830320694?itemId=16350457226&vendorItemId=83406358944
