Name,Price,Link,Img_url
"아이시스 무라벨 ECO 생수, 2L, 36개","25,930",https://www.coupang.com/vp/products/7841914137?itemId=21350776184&vendorItemId=88408440146,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/603819b3-fce7-4b1c-9e90-b5a12010bc491681169175724483787.png
"강원 평창수 무라벨, 2L, 30개","19,800",https://www.coupang.com/vp/products/5269360716?itemId=13064287016&vendorItemId=86495568256,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/457658229020642-69e27dc9-cc3c-42a2-8357-9a4526ab52a2.jpg
"동원샘물 생수 2L * 24병, 24개","14,550",https://www.coupang.com/vp/products/7994141013?itemId=22230752566&vendorItemId=85293566037,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/692c/0231f56256c7c664ccd5c822984d58968646a4726337759352f4351ad669.jpg
"탐사수, 2L, 30개","15,290",https://www.coupang.com/vp/products/27613130?itemId=16104582870&vendorItemId=83301837682,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/8071295981186095-de667f04-47bd-49b2-b6da-bb45ad7939db.crdownload
"탐사수 무라벨, 330ml, 60개","12,890",https://www.coupang.com/vp/products/5625704601?itemId=11696964056&vendorItemId=78971270753,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/10296372243845545-ea44558f-f74a-4601-a62b-6b4800b64afa.jpg
"동원샘물 무라벨 2l X 6병 (오늘출발+무료배송) 생수 물 2l, 6개","3,980",https://www.coupang.com/vp/products/7869554035?itemId=21494763403&vendorItemId=88446385812,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/14ce/495e3e05dbde7e8b3e0241fbb6833eb98c769b774ced26df738eb01b4c81.png
"에브리데이 산수, 1L, 60개","22,180",https://www.coupang.com/vp/products/7691729906?itemId=14910847328&vendorItemId=86471109291,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/0b16fcf3-0f42-43f6-bafb-6e6ced1aea661245510838666067379.png
"스파클 무라벨 생수, 2L, 24개","14,900",https://www.coupang.com/vp/products/1653706?itemId=16212301798&vendorItemId=70286435633,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/7c1b/8271ff5ba6e2634e3c8a9a728d7d79982a74418e0c7b850805392f4c398e.jpg
"몽베스트 생수, 330ml, 40개","10,350",https://www.coupang.com/vp/products/4683535861?itemId=128126647&vendorItemId=3265196496,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/4626711875637525-72bba9f8-6e2c-494f-9a2b-7247438a4165.jpg
"제주 삼다수, 500ml, 40개","19,200",https://www.coupang.com/vp/products/5585425593?itemId=19982637571&vendorItemId=86469813544,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/6d3c/23f7d6445e11b72c79b411bc226d1a7e7609e41534fe396c1fbbf246e2e9.png
"제주삼다수 그린, 330ml, 80개","34,400",https://www.coupang.com/vp/products/7666070794?itemId=14096771867&vendorItemId=86469906901,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/618477307803704-e296eca5-5cd3-4dda-8fe9-3c2d278bd384.jpg
"아이시스 무라벨 ECO 생수, 2L, 24개","17,290",https://www.coupang.com/vp/products/7841914137?itemId=21350776183&vendorItemId=88408440138,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/2088bfc4-60ed-446e-ae75-4e11d8888c624545898048110101823.png
"탐사수 무라벨, 330ml, 200개","38,760",https://www.coupang.com/vp/products/5625704601?itemId=19013169904&vendorItemId=86137790270,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/a7941211-6d53-4037-b9ba-48661cf865cb1822267060976032983.png
"동원샘물 생수 2L x24개 미네랄워터 대용량생수, 24개","14,770",https://www.coupang.com/vp/products/7856464110?itemId=21322873306&vendorItemId=75423856562,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/2742/3e7f6cfd728b4259eaefe789b56fce2c8ef8474c3c2404680a8e012ac947.jpg
"강원 평창수, 2L, 24개","15,520",https://www.coupang.com/vp/products/6346591823?itemId=13337405297&vendorItemId=86470202014,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/876721849580090-719fa9f2-79bd-45c0-9c83-ffd28963002f.jpg
"동원샘물 무라벨 생수, 500ml, 80개","18,350",https://www.coupang.com/vp/products/6485147801?itemId=18421340090&vendorItemId=86493937947,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/4874387826161349-d74b6229-36de-48b6-af1f-b1ee8f6b0020.jpg
"휘오 다이아몬드 EC 네추럴 미네랄 워터, 300ml, 40개","11,460",https://www.coupang.com/vp/products/2213229154?itemId=18454923143&vendorItemId=79449308055,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/26a9/078d8445d143da7c487bdc5e113f38b17b168a5cd30de5410ed7d2d89e80.jpg
"탐사수, 500ml, 200개","36,990",https://www.coupang.com/vp/products/27613130?itemId=19013169564&vendorItemId=86137790079,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/1250858217947049-89d6a92b-7c2e-4dd9-a316-bd9e616e6c9d.png
"동아오츠카 마신다 생수, 2L, 24개","13,990",https://www.coupang.com/vp/products/6191544952?itemId=21203240945&vendorItemId=88264497995,https://thumbnail8.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/efe0/10e0f27f556cd42f79238a6e448d8329e753ab5525c87578945b2cf08cd4.jpg
"아이시스 8.0, 2L, 36개","27,330",https://www.coupang.com/vp/products/6948139199?itemId=20004606715&vendorItemId=86949016932,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/789712085858527-d69f0bd5-6eba-4082-97aa-cbc91d27f6ed.jpg
"풀무원 퓨어 생수, 2L, 24개","13,100",https://www.coupang.com/vp/products/8010806804?itemId=22349167390&vendorItemId=86494114879,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/1491934837567986-f14f0c2b-0dc0-444b-a2a5-31d97de79bf1.jpg
"강원 평창수 무라벨, 2L, 18개","11,880",https://www.coupang.com/vp/products/5269360716?itemId=7505540767&vendorItemId=86495568125,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/94545815663780-fcc8bae4-f7b1-4f4c-8edf-4f030ec0fe96.jpg
"몽베스트 먹는샘물, 330ml, 60개","15,520",https://www.coupang.com/vp/products/4683535861?itemId=19116128694&vendorItemId=86433745541,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/4452404975656345-bf8ca2f1-16e5-4999-813a-5fc0988a1b91.jpg
"강원 평창수 무라벨, 2L, 12개","7,920",https://www.coupang.com/vp/products/5269360716?itemId=7505540780&vendorItemId=86495568251,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/457676108917498-c50bb825-facc-419b-93d0-b73a22ec4ea1.jpg
